z,coarse,medium,fine 
0,0,0,-2.8614e-33
0.14,0.00018481,0.00072098,-0.0041079
0.28,0.00036961,0.0012769,-0.0083478
0.42,0.00055442,0.0016573,-0.011336
0.56,0.00045555,0.0017268,-0.01341
0.7,-2.1574e-05,0.0018075,-0.015071
0.84,-0.00049869,0.0020048,-0.016204
0.98,-0.0009758,0.0024827,-0.016981
1.12,-0.00074256,0.0034849,-0.01763
1.26,-0.00039092,0.0047293,-0.018108
1.4,-3.9271e-05,0.0061804,-0.018241
1.54,0.00015327,0.007572,-0.017838
1.68,0.00034581,0.0087842,-0.016853
1.82,0.00053249,0.0098023,-0.015138
1.96,0.00068405,0.010463,-0.012867
2.1,0.00083561,0.010821,-0.010389
2.24,0.0009898,0.010961,-0.0080225
2.38,0.0011506,0.010854,-0.0059231
2.52,0.0013114,0.010567,-0.0041324
2.66,0.0015367,0.010196,-0.0026243
2.8,0.001848,0.0097506,-0.0013395
2.94,0.0021594,0.0089268,-0.00018168
3.08,0.0023998,0.0083758,0.00066972
3.22,0.0025871,0.0080294,0.0011586
3.36,0.0027745,0.007683,0.0012082
3.5,0.0029618,0.0073366,0.001138
3.64,0.0031491,0.0072143,0.00031782
3.78,0.0033364,0.0070919,-0.00055315
3.92,0.0035237,0.0069695,-0.0016105
4.06,0.003523,0.0069373,-0.0024854
4.2,0.0032716,0.0070255,-0.003117
4.34,0.0030202,0.0071136,-0.0034638
4.48,0.0027687,0.0072017,-0.0036525
4.62,0.0025173,0.0072533,-0.0037317
4.76,0.0022659,0.0072989,-0.0037919
4.9,0.0020145,0.0073444,-0.0038413
5.04,0.0017873,0.0073513,-0.0038768
5.18,0.0016207,0.0072619,-0.0038777
5.32,0.0014541,0.0071725,-0.0038329
5.46,0.0012876,0.0070832,-0.0037423
5.6,0.001121,0.0069822,-0.0036176
5.74,0.0009544,0.0068767,-0.0034792
5.88,0.00078783,0.0067711,-0.0036122
6.02,0.00062742,0.0066696,-0.003815
6.16,0.00050407,0.0065927,-0.0043111
6.3,0.00038072,0.0065158,-0.0047528
6.44,0.00025737,0.0064389,-0.0050968
6.58,0.00013402,0.0063715,-0.0053521
6.72,1.0673e-05,0.0063114,-0.0055408
6.86,-0.00011268,0.0062513,-0.0057679
7,-0.00023603,0.0061911,-0.0060056
7.14,-0.00041736,0.0061658,-0.0061607
7.28,-0.00059869,0.0061405,-0.0062983
7.42,-0.00078003,0.0061152,-0.0063714
7.56,-0.00096136,0.0061281,-0.0064407
7.7,-0.0011427,0.006192,-0.0065051
7.84,-0.001324,0.0062558,-0.0066025
7.98,-0.0015054,0.0063197,-0.0067182
8.12,-0.0016912,0.0064113,-0.0068191
8.26,-0.0018778,0.0065076,-0.0069118
8.4,-0.0020644,0.0066038,-0.0069292
8.54,-0.002251,0.0067014,-0.0069552
8.68,-0.0024376,0.0068025,-0.0070025
8.82,-0.0026242,0.0069035,-0.0071362
8.96,-0.0028107,0.0070046,-0.0073565
9.1,-0.0029304,0.0070209,-0.0077191
9.24,-0.0030232,0.0070033,-0.0081388
9.38,-0.003116,0.0069857,-0.0086635
9.52,-0.0032088,0.0069454,-0.0091971
9.66,-0.0033016,0.0067693,-0.0097354
9.8,-0.0033944,0.0065932,-0.010237
9.94,-0.0034873,0.0064172,-0.010672
10.08,-0.003552,0.0062135,-0.011001
10.22,-0.0035956,0.0059891,-0.011249
10.36,-0.0036392,0.0057647,-0.011348
10.5,-0.0036829,0.0055404,-0.011406
10.64,-0.0037265,0.0052912,-0.01136
10.78,-0.0037701,0.005042,-0.011314
10.92,-0.0038137,0.0047927,-0.011269
11.06,-0.0038293,0.0045143,-0.011241
11.2,-0.0038073,0.0041968,-0.011237
11.34,-0.0037853,0.0038793,-0.011235
11.48,-0.0037634,0.0035618,-0.011235
11.62,-0.0037414,0.0032796,-0.01121
11.76,-0.0037194,0.0030032,-0.011177
11.9,-0.0036974,0.0027268,-0.011071
12.04,-0.0036967,0.0025001,-0.010938
12.18,-0.0037489,0.0023974,-0.010736
12.32,-0.0038012,0.0022947,-0.010505
12.46,-0.0038535,0.002192,-0.010245
12.6,-0.0039057,0.0022073,-0.0099489
12.74,-0.003958,0.0022699,-0.0096387
12.88,-0.0040102,0.0023325,-0.009293
13.02,-0.0040675,0.00239,-0.0089361
13.16,-0.0041552,0.0024169,-0.008528
13.3,-0.0042429,0.0024438,-0.0081218
13.44,-0.0043306,0.0024708,-0.0077191
13.58,-0.0044183,0.0024329,-0.0074336
13.72,-0.0045059,0.0023465,-0.0072361
13.86,-0.0045936,0.00226,-0.0072629
14,-0.0046813,0.0021736,-0.0073509
14.14,-0.0048211,0.0021311,-0.0076111
14.28,-0.0049609,0.0020886,-0.00788
14.42,-0.0051007,0.0020462,-0.0081812
14.56,-0.0052406,0.0019647,-0.0085084
14.7,-0.0053804,0.0018313,-0.0088704
14.84,-0.0055202,0.0016979,-0.009331
14.98,-0.00566,0.0015644,-0.0098464
15.12,-0.0057029,0.0014019,-0.010517
15.26,-0.0057297,0.0012346,-0.011225
15.4,-0.0057565,0.0010672,-0.012073
15.54,-0.0057832,0.00090562,-0.012944
15.68,-0.00581,0.00075831,-0.013874
15.82,-0.0058368,0.00061101,-0.014799
15.96,-0.0058635,0.00046371,-0.015722
16.1,-0.0058132,0.0004366,-0.016593
16.24,-0.0057321,0.00045757,-0.017444
16.38,-0.005651,0.00047854,-0.018263
16.52,-0.0055699,0.00049518,-0.019067
