z,coarse,medium,fine  
0,5.6837e-05,5.6453e-05,6.6839e-05
0.14,66.499,113.26,161.48
0.28,94.043,158.24,238.34
0.42,115.18,189.94,284.85
0.56,133.58,206.97,301.47
0.7,150.43,219.49,302.23
0.84,165.58,230.47,299.18
0.98,179.45,241.83,300.44
1.12,191.46,253.39,307.88
1.26,202.63,263.69,319.28
1.4,213.21,272.45,331.66
1.54,219.41,279.88,339.9
1.68,225.44,286.84,344.41
1.82,231.02,293.38,346.96
1.96,234.7,299.39,349
2.1,238.33,305.08,350.76
2.24,241.51,310.52,352.56
2.38,243.66,315.7,354.68
2.52,245.79,320.47,356.78
2.66,245.9,324.68,358.76
2.8,243.33,328.27,360.31
2.94,240.73,329.24,358.98
3.08,238.52,329.8,356.12
3.22,236.61,330.08,354.33
3.36,234.69,330.35,353.86
3.5,232.75,330.62,353.78
3.64,230.79,331.13,354.5
3.78,228.82,331.66,355.16
3.92,226.83,332.17,355.61
4.06,225.27,332.54,355.98
4.2,224.29,332.69,356.23
4.34,223.31,332.85,357.17
4.48,222.32,333,358.5
4.62,221.33,333.12,360.36
4.76,220.34,333.24,362.26
4.9,219.34,333.38,363.52
5.04,218.47,333.45,364.42
5.18,217.97,333.47,364.35
5.32,217.46,333.47,363.77
5.46,216.96,333.47,362.7
5.6,216.45,333.53,361.66
5.74,215.94,333.62,360.65
5.88,215.43,333.69,360.26
6.02,214.97,333.78,359.97
6.16,214.78,333.96,360.07
6.3,214.6,334.13,360.14
6.44,214.41,334.31,360.17
6.58,214.22,334.44,360.01
6.72,214.04,334.57,359.75
6.86,213.85,334.69,359.71
7,213.67,334.83,359.72
7.14,213.67,334.96,360.07
7.28,213.67,335.1,360.37
7.42,213.67,335.25,360.54
7.56,213.67,335.35,360.76
7.7,213.67,335.41,361.05
7.84,213.67,335.48,361.5
7.98,213.67,335.54,362.02
8.12,213.92,335.59,362.37
8.26,214.22,335.62,362.67
8.4,214.52,335.66,362.63
8.54,214.81,335.72,362.49
8.68,215.11,335.84,362.12
8.82,215.41,335.96,361.55
8.96,215.7,336.08,360.79
9.1,216.32,336.27,359.92
9.24,217.07,336.48,358.98
9.38,217.82,336.69,358.44
9.52,218.57,336.94,357.98
9.66,219.31,337.37,357.98
9.8,220.05,337.8,358.09
9.94,220.78,338.25,358.4
10.08,221.72,338.82,358.85
10.22,222.81,339.51,359.42
10.36,223.89,340.21,360.26
10.5,224.96,340.91,361.19
10.64,226.04,341.85,362.44
10.78,227.1,342.77,363.72
10.92,228.16,343.7,365.08
11.06,229.3,344.8,366.43
11.2,230.53,346.14,367.79
11.34,231.77,347.46,369.32
11.48,232.99,348.77,370.94
11.62,234.21,350.29,373.07
11.76,235.42,351.81,375.27
11.9,236.63,353.34,377.68
12.04,237.87,354.82,379.87
