z,coarse,medium,fine
0,0,0,5.4809e-17
0.14,0.042605,0.048353,0.067697
0.28,0.060253,0.066067,0.10137
0.42,0.073794,0.077876,0.122
0.56,0.085265,0.084859,0.13393
0.7,0.095431,0.090593,0.14126
0.84,0.10461,0.095832,0.14611
0.98,0.11305,0.10108,0.15009
1.12,0.12056,0.10666,0.15326
1.26,0.12758,0.1122,0.15546
1.4,0.13423,0.11766,0.15693
1.54,0.13887,0.12272,0.15778
1.68,0.14337,0.12734,0.15844
1.82,0.14746,0.13158,0.15916
1.96,0.14986,0.13543,0.16036
2.1,0.15222,0.13914,0.16217
2.24,0.15447,0.14273,0.16466
2.38,0.15648,0.14623,0.16756
2.52,0.15846,0.14965,0.17086
2.66,0.16177,0.15301,0.17444
2.8,0.16678,0.15634,0.17815
2.94,0.17164,0.1612,0.18246
3.08,0.17511,0.16463,0.18676
3.22,0.17758,0.16703,0.19001
3.36,0.18001,0.1694,0.19331
3.5,0.18242,0.17174,0.19658
3.64,0.18479,0.17371,0.19973
3.78,0.18714,0.17566,0.20275
3.92,0.18945,0.17759,0.20541
4.06,0.1914,0.17932,0.20774
4.2,0.19289,0.18078,0.20966
4.34,0.19437,0.18224,0.21151
4.48,0.19584,0.18368,0.21333
4.62,0.19729,0.18503,0.21506
4.76,0.19874,0.18635,0.21671
4.9,0.20017,0.18767,0.21776
5.04,0.20147,0.18905,0.21864
5.18,0.20243,0.1906,0.21914
5.32,0.20338,0.19214,0.21959
5.46,0.20433,0.19367,0.22
5.6,0.20527,0.19516,0.22048
5.74,0.20621,0.19663,0.22099
5.88,0.20714,0.19808,0.22131
6.02,0.20812,0.19949,0.22159
6.16,0.20937,0.20065,0.22176
6.3,0.21061,0.20181,0.22195
6.44,0.21184,0.20296,0.22217
6.58,0.21307,0.20398,0.22238
6.72,0.21429,0.2049,0.22259
6.86,0.2155,0.20583,0.22299
7,0.21671,0.20674,0.22345
7.14,0.21798,0.20753,0.22433
7.28,0.21924,0.20831,0.22528
7.42,0.2205,0.20909,0.2265
7.56,0.22175,0.20993,0.22778
7.7,0.22299,0.21083,0.22911
7.84,0.22423,0.21173,0.23034
7.98,0.22546,0.21263,0.23152
8.12,0.22689,0.21361,0.23248
8.26,0.22835,0.2146,0.23339
8.4,0.2298,0.21559,0.23408
8.54,0.23124,0.21659,0.23474
8.68,0.23268,0.21765,0.23532
8.82,0.2341,0.21871,0.23597
8.96,0.23552,0.21976,0.2367
9.1,0.23707,0.22092,0.2377
9.24,0.23866,0.22212,0.23879
9.38,0.24025,0.22332,0.24031
9.52,0.24182,0.22454,0.24192
9.66,0.24339,0.22591,0.24384
9.8,0.24494,0.22728,0.24581
9.94,0.24649,0.22864,0.24786
10.08,0.24802,0.23005,0.24982
10.22,0.24954,0.23151,0.25172
10.36,0.25105,0.23296,0.25342
10.5,0.25255,0.2344,0.25505
10.64,0.25404,0.23576,0.25651
10.78,0.25553,0.23711,0.25795
10.92,0.257,0.23845,0.25934
11.06,0.25861,0.23974,0.26071
11.2,0.2604,0.24098,0.26207
11.34,0.26217,0.24221,0.26342
11.48,0.26393,0.24343,0.26475
11.62,0.26568,0.24473,0.26616
11.76,0.26741,0.24603,0.26759
11.9,0.26914,0.24732,0.26927
12.04,0.27095,0.24869,0.271
12.18,0.27301,0.25028,0.27287
12.32,0.27504,0.25185,0.27473
12.46,0.27707,0.25341,0.2766
12.6,0.27907,0.25508,0.27845
12.74,0.28107,0.25678,0.2803
12.88,0.28305,0.25847,0.28223
13.02,0.28504,0.26015,0.2842
13.16,0.28717,0.26187,0.28633
13.3,0.28929,0.26358,0.2885
13.44,0.2914,0.26528,0.29074
13.58,0.29349,0.26693,0.29291
13.72,0.29556,0.26854,0.29504
13.86,0.29762,0.27013,0.29709
14,0.29966,0.27172,0.2991
14.14,0.30186,0.27328,0.30133
14.28,0.30403,0.27483,0.30361
14.42,0.30619,0.27637,0.30615
14.56,0.30834,0.27798,0.30868
14.7,0.31047,0.27968,0.3112
14.84,0.31258,0.28138,0.31348
14.98,0.31469,0.28307,0.31562
15.12,0.31695,0.28497,0.31738
15.26,0.31925,0.28691,0.31905
15.4,0.32151,0.28883,0.32045
15.54,0.32377,0.29081,0.32181
15.68,0.32601,0.29295,0.32306
15.82,0.32824,0.29507,0.32433
15.96,0.33045,0.29718,0.32559
16.1,0.33285,0.29936,0.32702
16.24,0.33531,0.30155,0.32851
16.38,0.33774,0.30373,0.33033
16.52,0.34018,0.3059,0.33223
16.66,0.34258,0.30807,0.33441
16.8,0.34496,0.31024,0.33662
16.94,0.34735,0.31238,0.33891
