z_cm,r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
2,0,770,138,771,143,40,39
4,0,999,186,1001,194,52,39
6,0,1122,183,1125,194,59,39
8,0,1176,188,1180,203,61,39
10,0,1207,193,1212,211,63,39
14,0,1209,210,1213,236,63,39
20,0,1153,246,1157,279,60,39
30,0,1093,268,1096,307,57,39
35,0,1109,232,1112,270,58,39
39,0,1060,240,1063,276,55,39
45,0,1012,260,1014,296,53,39
55,0,959,241,961,271,50,39
70,0,831,179,832,190,43,39
85,0,669,178,670,192,35,39
100,0,580,129,580,136,30,39
125,0,463,88,464,96,24,39
150,0,425,60,425,66,22,39
