z_cm,r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
0,0,335,2,335,8,17,52
1,0,919,266,922,293,48,52
2,0,1095,310,1145,358,60,52
4,0,1176,275,1183,318,62,52
6,0,1242,316,1251,373,65,52
8,0,1280,337,1290,405,67,52
11,0,1227,332,1235,414,64,52
14,0,1230,309,1238,393,64,52
15,0,1201,332,1209,433,63,52
21,0,1080,346,1085,460,56,52
31,0,901,321,904,435,47,52
34,0,836,299,838,404,44,52
41,0,719,265,720,369,37,52
51,0,594,208,595,285,31,52
61,0,503,153,503,216,26,52
64,0,484,131,484,182,25,52
91,0,403,67,403,97,21,52
111,0,377,45,377,63,20,52
