z_cm,r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
2,0,1105,227,1109,240,58,39
4,0,1258,236,1264,251,66,39
6,0,1329,237,1336,256,69,39
8,0,1327,244,1334,265,69,39
10,0,1332,255,1339,280,70,39
14,0,1274,296,1281,327,67,39
20,0,1146,332,1151,366,60,39
24,0,1088,350,1092,387,57,39
27,0,985,235,987,260,51,39
29,0,952,235,953,259,50,39
30,0,963,337,966,377,50,39
31,0,936,224,937,249,49,39
33,0,867,229,868,251,45,39
35,0,846,228,847,252,44,39
39,0,801,211,801,233,42,39
45,0,711,236,711,261,37,39
55,0,611,158,611,174,32,39
60,0,579,194,579,216,30,39
70,0,505,103,505,113,26,39
75,0,497,134,497,150,26,39
85,0,459,75,459,83,24,39
100,0,424,58,424,64,22,39
