z,r,u-bar (m/s),U-U RMS,v-bar (m/s),V-V RMS,t-bar (K),T-T RMS
2,-4,0.1977,0.3237,0.2134,0.3422,1176,397.1
2,-2,0.2212,0.2979,0.2483,0.3909,1165,388.5
2,0,0.221,0.2826,0.08958,0.3217,1143,384.5
2,2,0.2711,0.279,-0.0616,0.3319,1158,386.8
2,4,0.2561,0.311,-0.08509,0.426,1208,393.5
2,6,0.1652,0.3682,-0.1233,0.5181,1201,403.7
2,8,0.09519,0.3543,-0.215,0.5104,1107,425.7
2,10,0.03135,0.2948,-0.2859,0.5617,954.4,451.8
2,12,-0.006913,0.1499,-0.4738,0.197,879.8,446.4
2,14,0.07802,0.1592,-0.4667,0.1192,540.7,337.5
2,16,0.2543,0.1065,-0.2814,0.09155,317.1,29.33
4,-4,0.542,0.445,0.1718,0.4182,1268,380.6
4,-2,0.5473,0.422,0.09562,0.3412,1250,375.9
4,0,0.564,0.4446,0.0752,0.4137,1238,376.1
4,2,0.5326,0.4011,-0.01405,0.3827,1276,355.5
4,4,0.5104,0.4396,-0.08472,0.416,1288,373.2
4,6,0.416,0.4794,-0.1725,0.4381,1190,407.8
4,8,0.2992,0.431,-0.3118,0.3544,1030,433.3
4,10,0.315,0.3466,-0.3555,0.3061,936.2,454.6
4,12,0.2469,0.2311,-0.3771,0.1734,730.3,439.4
4,14,0.161,0.1562,-0.3087,0.1473,434.2,277.6
4,16,0.1471,0.1069,-0.2367,0.1192,317.4,29.49
6,-4,0.815,0.544,0.224,0.367,1220,335
6,-2,0.984,0.483,0.031,0.315,1290,294
6,0,1,0.449,-0.0587,0.309,1290,288
6,2,0.984,0.474,-0.144,0.3,1300,290
6,4,0.947,0.494,-0.152,0.324,1280,300
6,6,0.876,0.525,-0.189,0.335,1200,332
6,8,0.734,0.516,-0.257,0.306,1050,378
6,10,0.674,0.484,-0.282,0.275,940,401
6,12,0.479,0.387,-0.281,0.199,730,387
6,14,0.271,0.27,-0.207,0.199,482,280
6,16,0.137,0.131,-0.202,0.146,327,62.2
8,-4,0.9588,0.65,0.2425,0.4962,1217,364.6
8,-2,1.127,0.6482,0.1527,0.3955,1311,329.7
8,0,1.237,0.6054,0.1615,0.3549,1324,312.9
8,2,1.24,0.6137,0.1005,0.6144,1333,317.8
8,4,1.076,0.6187,0.01043,0.6028,1247,356
8,6,0.9026,0.6078,-0.0533,0.628,1073,397.9
8,8,0.7699,0.5273,-0.2032,0.4146,944.7,415.5
8,10,0.5914,0.4505,-0.2608,0.3122,828,415.6
8,12,0.3501,0.3325,-0.2462,0.2655,630.4,382.3
8,14,0.175,0.1926,-0.2341,0.2255,436.3,262.4
8,16,0.1138,0.1275,-0.2286,0.1573,330.4,91.88
10,-4,1.002,0.7331,0.2722,0.4127,1061,388.9
10,-2,1.269,0.7853,0.2153,0.5315,1248,347
10,0,1.462,0.7473,0.04285,0.5788,1308,320.9
10,2,1.381,0.7766,0.009191,0.5306,1299,333.1
10,4,1.268,0.7411,0.003388,0.5944,1225,357.1
10,6,1.098,0.6664,-0.04164,0.575,1040,379.8
10,8,0.9049,0.578,-0.1463,0.4657,913.5,403.4
10,10,0.651,0.4533,-0.1471,0.4597,762.7,400
10,12,0.4166,0.3725,-0.169,0.4474,650.6,380.9
10,14,0.1888,0.279,-0.1796,0.4101,480.4,295.9
10,16,0.08379,0.2036,-0.2162,0.2795,348.3,131.7
12,-4,1.379,0.7959,0.1599,0.6014,1167,354.4
12,-2,1.585,0.8464,0.03732,0.5448,1274,326.2
12,0,1.618,0.8398,0.09068,0.5687,1305,313
12,2,1.592,0.8386,0.08477,0.5631,1321,311.1
12,4,1.473,0.821,-0.1182,0.4003,1132,337.6
12,6,1.431,0.7821,-0.04434,0.4379,1036,349.5
12,8,0.9952,0.5953,-0.09238,0.5037,850.9,400.2
12,10,0.8069,0.5076,-0.1335,0.5143,778.4,398.4
12,12,0.5425,0.4319,-0.1592,0.4624,677.1,387
12,14,0.344,0.3605,-0.1724,0.4307,549.8,334.8
12,16,0.1391,0.2644,-0.1974,0.4407,376,182.1
14,-4,1.538,0.8362,0.09742,0.5322,1147,354
14,-2,1.796,0.9154,-0.006972,0.4969,1283,308.1
14,0,1.819,0.9092,0.04069,0.449,1307,300.2
14,2,1.732,0.9263,0.04443,0.5081,1242,331.2
14,4,1.51,0.8604,-0.03278,0.4301,1103,368.8
14,6,1.242,0.7089,-0.08872,0.4295,904.3,385.9
14,8,1.018,0.6032,-0.1262,0.4256,783.1,389.2
14,10,0.9117,0.5113,-0.124,0.4683,766.3,386.8
14,12,0.6101,0.4442,-0.1586,0.4733,666.7,376.3
14,14,0.3445,0.3398,-0.1854,0.4271,535,322.9
14,16,0.2103,0.257,-0.1974,0.3589,429,242.9
16,-4,1.585,0.8828,0.1631,0.5612,1034,357
16,-2,1.961,0.9154,0.1223,0.5545,1218,314.6
16,0,2.076,0.9341,0.1231,0.5228,1282,293.6
16,2,1.9825,0.9303,0.041865,0.527,1209.5,320.55
16,4,1.889,0.9265,-0.03937,0.5312,1137,347.5
16,6,1.476,0.8096,-0.05845,0.538,911.8,365.7
16,8,1.163,0.6846,-0.08351,0.4908,775.5,358.3
16,10,0.7145,0.4895,-0.09609,0.437,625.5,319.5
16,12,0.5053,0.3801,-0.1073,0.3819,530.5,278.5
16,14,0.3416,0.3009,-0.1372,0.3314,435.8,216.1
16,16,0.2602,0.231,-0.1397,0.2679,376.7,155.4
18,-4,1.692,0.9134,0.1188,0.5114,1031,363.7
18,-2,2.015,1.021,0.07692,0.507,1199,324.4
18,0,2.201,1.018,-0.04504,0.4774,1275,287.5
18,2,2.091,0.9761,-0.05952,0.4755,1177,307.1
18,4,1.802,0.8776,-0.09914,0.4721,1021,328.5
18,6,1.571,0.7708,-0.07961,0.4692,909.1,351.9
18,8,1.268,0.6703,-0.08976,0.4553,791,353.2
18,10,0.993,0.5855,-0.06249,0.4628,697.6,338.4
18,12,0.7476,0.5226,-0.04973,0.4485,608.7,301.3
18,14,0.4015,0.3726,-0.1277,0.3865,463.3,227.7
18,16,0.2475,0.2491,-0.1414,0.2967,373.9,142.4
20,-4,1.897,0.9127,0.1194,0.5366,1051,346.5
20,-2,2.218,1.042,0.05044,0.5372,1193,310.6
20,0,2.347,1.07,-0.02629,0.504,1237,295.1
20,2,2.215,1.002,-0.02425,0.498,1148,303.7
20,4,2.058,0.9239,-0.02266,0.5008,1058,322.3
20,6,1.749,0.8118,-0.04115,0.4951,906.2,340.1
20,8,1.582,0.6938,0.002736,0.4947,848,338.6
20,10,1.321,0.6457,0.0166,0.4867,760,332.7
20,12,1.087,0.5702,0.02112,0.4575,672.7,310.2
20,14,0.7436,0.4921,-0.01587,0.4353,556.4,267.1
20,16,0.5687,0.4152,-0.002757,0.3865,477.1,212.3
30,-4,2.252,1.004,-0.03527,0.6245,894.1,320.7
30,-2,2.475,1.107,0.01156,0.6305,964.5,314.4
30,0,2.487,1.057,-0.06705,0.6066,957,298.7
30,2,2.339,1.027,0.02132,0.6355,900,305.7
30,4,2.121,0.9444,0.01199,0.602,813.1,303.3
30,6,1.792,0.8681,-0.01788,0.5742,690.6,292.6
30,8,1.526,0.7484,-0.02557,0.5486,625.7,278
30,10,1.088,0.6589,-0.04497,0.5608,538.7,243
30,12,0.8377,0.595,-0.113,0.5068,518.5,233.6
30,14,0.5256,0.4858,-0.1498,0.4703,437.4,192
30,16,0.4542,0.4138,-0.1713,0.412,399.8,158.8
