z,r,u'/ubaro center,u'/ubarl local,v'/vbaro center,v'/vbarl local,T'/Tbaro center,T'/Tbarl local
2,-4,1.464705882,1.637329287,3.820049118,1.603561387,0.347419073,0.337670068
2,-2,1.347963801,1.346745027,4.363697254,1.574305276,0.339895013,0.333476395
2,0,1.278733032,1.278733032,3.591203394,3.591203394,0.336395451,0.336395451
2,2,1.262443439,1.029140539,3.705068096,5.387987013,0.338407699,0.33402418
2,4,1.407239819,1.214369387,4.755525787,5.006463744,0.344269466,0.325745033
2,6,1.666063348,2.228813559,5.783657066,4.201946472,0.353193351,0.336136553
2,8,1.603167421,3.722029625,5.69770038,2.373953488,0.372440945,0.384552846
2,10,1.333936652,9.403508772,6.270372851,1.964672963,0.395275591,0.473386421
2,12,0.678280543,-21.68378417,2.199151596,0.415787252,0.390551181,0.507388043
2,14,0.720361991,2.040502435,1.330654164,0.255410328,0.295275591,0.624190864
2,16,0.481900452,0.418796697,1.021991516,0.325337598,0.025660542,0.092494481
4,-4,0.789007092,0.82103321,5.561170213,2.434225844,0.307431341,0.300157729
4,-2,0.74822695,0.771057921,4.537234043,3.568291152,0.303634895,0.30072
4,0,0.788297872,0.788297872,5.501329787,5.501329787,0.303796446,0.303796446
4,2,0.711170213,0.75309801,5.089095745,27.23843416,0.287156704,0.278605016
4,4,0.779432624,0.861285266,5.531914894,4.910292729,0.301453958,0.289751553
4,6,0.85,1.152403846,5.825797872,2.539710145,0.329402262,0.342689076
4,8,0.764184397,1.440508021,4.712765957,1.136626042,0.35,0.420679612
4,10,0.614539007,1.10031746,4.070478723,0.861040788,0.36720517,0.485580004
4,12,0.409751773,0.93600648,2.305851064,0.45982498,0.354927302,0.601670546
4,14,0.276950355,0.970186335,1.958776596,0.477162293,0.224232633,0.639336711
4,16,0.189539007,0.726716519,1.585106383,0.503591044,0.023820679,0.092911153
6,-4,0.544,0.667484663,6.252129472,1.638392857,0.259689922,0.274590164
6,-2,0.490853659,0.490853659,5.366269165,10.16129032,0.227906977,0.227906977
6,0,0.449,0.449,5.264054514,5.264054514,0.223255814,0.223255814
6,2,0.481707317,0.481707317,5.110732538,2.083333333,0.223076923,0.223076923
6,4,0.521647307,0.521647307,5.519591141,2.131578947,0.234375,0.234375
6,6,0.599315068,0.599315068,5.706984668,1.772486772,0.276666667,0.276666667
6,8,0.702997275,0.702997275,5.212947189,1.190661479,0.36,0.36
6,10,0.71810089,0.71810089,4.68483816,0.975177305,0.426595745,0.426595745
6,12,0.807933194,0.807933194,3.39011925,0.708185053,0.530136986,0.530136986
6,14,0.996309963,0.996309963,3.39011925,0.961352657,0.580912863,0.580912863
6,16,0.95620438,0.95620438,2.487223169,0.722772277,0.190214067,0.190214067
8,-4,0.525464834,0.677930747,3.07244582,2.046185567,0.275377644,0.299589154
8,-2,0.524009701,0.57515528,2.448916409,2.590045842,0.249018127,0.251487414
8,0,0.489409863,0.489409863,2.19752322,2.19752322,0.236329305,0.236329305
8,2,0.496119644,0.494919355,3.804334365,6.113432836,0.240030211,0.238409602
8,4,0.500161681,0.575,3.73250774,57.79482263,0.268882175,0.285485164
8,6,0.49135004,0.67338799,3.888544892,11.78236398,0.300528701,0.37082945
8,8,0.426273242,0.684894142,2.567182663,2.040354331,0.313821752,0.439822166
8,10,0.364187551,0.761751775,1.933126935,1.19708589,0.313897281,0.501932367
8,12,0.268795473,0.949728649,1.643962848,1.078391552,0.288746224,0.606440355
8,14,0.155699272,1.100571429,1.39628483,0.963263563,0.198187311,0.601421041
8,16,0.103071948,1.120386643,0.973993808,0.688101487,0.06939577,0.278087167
10,-4,0.501436389,0.731636727,9.631271879,1.516164585,0.297324159,0.366540999
10,-2,0.537140903,0.618833727,12.40373396,2.468648398,0.26529052,0.278044872
10,0,0.511149111,0.511149111,13.5075846,13.5075846,0.245336391,0.245336391
10,2,0.53119015,0.562346126,12.38273046,57.73038842,0.254663609,0.256428022
10,4,0.506908345,0.584463722,13.87164527,175.4427391,0.273012232,0.291510204
10,6,0.455813953,0.606921676,13.41890315,13.80883766,0.290366972,0.365192308
10,8,0.395348837,0.638744613,10.86814469,3.183185236,0.308409786,0.441598248
10,10,0.31005472,0.696313364,10.72812135,3.125084976,0.305810398,0.524452603
10,12,0.254787962,0.894143063,10.44107351,2.647337278,0.291207951,0.585459576
10,14,0.190834473,1.477754237,9.570595099,2.283407572,0.226223242,0.615945046
10,16,0.139261286,2.429884234,6.522753792,1.292784459,0.100688073,0.378122308
12,-4,0.491903585,0.57715736,6.632112925,3.761100688,0.271570881,0.303684662
12,-2,0.523114957,0.534006309,6.007940009,14.59807074,0.249961686,0.256043956
12,0,0.519035847,0.519035847,6.271504191,6.271504191,0.239846743,0.239846743
12,2,0.51829419,0.526758794,6.209748566,6.642680193,0.238390805,0.235503407
12,4,0.507416564,0.55736592,4.414424349,3.386632826,0.258697318,0.298233216
12,6,0.483374536,0.546540881,4.829069255,9.875958502,0.267816092,0.337355212
12,8,0.367923362,0.598171222,5.554697839,5.452478892,0.306666667,0.470325538
12,10,0.313720643,0.629074235,5.671592413,3.852434457,0.305287356,0.511819116
12,12,0.266934487,0.796129032,5.09925011,2.904522613,0.296551724,0.571555162
12,14,0.222805933,1.047965116,4.749669166,2.498259861,0.256551724,0.608948709
12,16,0.163411619,1.900790798,4.859947067,2.232522796,0.13954023,0.484308511
14,-4,0.459703134,0.543693108,13.07938068,5.462943954,0.270849273,0.308631212
14,-2,0.50324354,0.509688196,12.21184566,71.27079748,0.235730681,0.240140296
14,0,0.499835074,0.499835074,11.03465225,11.03465225,0.229686305,0.229686305
14,2,0.509235844,0.534815242,12.48709757,11.43596669,0.253404744,0.266666667
14,4,0.473007147,0.569801325,10.57016466,13.12080537,0.282172915,0.334360834
14,6,0.389719626,0.570772947,10.55541902,4.841073039,0.295256312,0.426738914
14,8,0.331610775,0.592534381,10.45957238,3.372424723,0.297781178,0.496999106
14,10,0.28108851,0.560820445,11.50897026,3.776612903,0.295944912,0.504763148
14,12,0.24420011,0.728077364,11.63185058,2.984237074,0.287911247,0.564421779
14,14,0.186805937,0.986357039,10.49643647,2.303667745,0.247054323,0.603551402
14,16,0.141286421,1.222063718,8.82034898,1.818135765,0.185845448,0.566200466
16,-4,0.425240848,0.556971609,4.558895207,3.440833844,0.278471139,0.345261122
16,-2,0.440944123,0.466802652,4.504467912,4.533932952,0.245397816,0.258292282
16,0,0.44995183,0.44995183,4.246953696,4.246953696,0.229017161,0.229017161
16,2,0.448121387,0.46925599,4.281072299,12.58808074,0.250039002,0.265026871
16,4,0.446290944,0.490471149,4.315190902,13.49250699,0.271060842,0.305628848
16,6,0.389980732,0.548509485,4.370430544,9.204448246,0.28525741,0.401074797
16,8,0.329768786,0.588650043,3.987002437,5.877140462,0.279485179,0.4620245
16,10,0.235789981,0.685094472,3.549959383,4.547819752,0.249219969,0.510791367
16,12,0.183092486,0.7522264,3.102355808,3.55917987,0.21723869,0.524976437
16,14,0.144942197,0.880854801,2.692120227,2.415451895,0.168564743,0.495869665
16,16,0.111271676,0.887778632,2.176279448,1.917680744,0.121216849,0.412529865
18,-4,0.414993185,0.539834515,11.35435169,4.304713805,0.285254902,0.352764306
18,-2,0.463880055,0.506699752,11.25666075,6.591263651,0.254431373,0.270558799
18,0,0.462517038,0.462517038,10.59946714,10.59946714,0.225490196,0.225490196
18,2,0.443480236,0.466810139,10.55728242,7.98891129,0.240862745,0.260917587
18,4,0.398727851,0.487014428,10.48179396,4.761952794,0.257647059,0.321743389
18,6,0.350204453,0.490642903,10.41740675,5.893731943,0.276,0.387086129
18,8,0.304543389,0.52862776,10.10879218,5.07241533,0.277019608,0.446523388
18,10,0.266015448,0.589627392,10.27531083,7.405984958,0.265411765,0.485091743
18,12,0.237437528,0.699036918,9.957815275,9.018700985,0.236313725,0.494989322
18,14,0.169286688,0.928019925,8.581261101,3.026624902,0.178588235,0.491474207
18,16,0.113175829,1.006464646,6.587477798,2.098302687,0.111686275,0.380850495
20,-4,0.388879421,0.481128097,20.41080259,4.494137353,0.280113177,0.329686013
20,-2,0.443971027,0.469792606,20.43362495,10.65027756,0.25109135,0.260352054
20,0,0.45590115,0.45590115,19.17078737,19.17078737,0.238561035,0.238561035
20,2,0.426927993,0.452370203,18.94256371,20.53608247,0.245513339,0.264547038
20,4,0.39365147,0.448931001,19.04906809,22.10061783,0.260549717,0.30463138
20,6,0.345888368,0.464150943,18.83225561,12.03159174,0.274939369,0.375303465
20,8,0.295611419,0.438558786,18.8170407,180.8114035,0.273726758,0.399292453
20,10,0.275117171,0.488796366,18.51274249,29.31927711,0.268957154,0.437763158
20,12,0.242948445,0.524563017,17.40205401,21.66193182,0.250767987,0.461126802
20,14,0.209671922,0.661780527,16.55762647,27.42911153,0.215925627,0.480050324
20,16,0.176906689,0.730086161,14.70140738,140.1886108,0.171624899,0.444980088
30,-4,0.427780145,0.445825933,9.313944817,17.70626595,0.259256265,0.358684711
30,-2,0.445114596,0.447272727,3.680677175,54.54152249,0.328526646,0.325972006
30,0,0.425010052,0.425010052,3.541155867,9.046979866,0.312121212,0.312121212
30,2,0.412947326,0.439076528,3.709865733,29.80769231,0.319435737,0.339666667
30,4,0.37973462,0.445261669,3.514302393,50.20850709,0.3169279,0.373016849
30,6,0.349055086,0.484430804,3.352014011,32.11409396,0.305747126,0.423689545
30,8,0.300924809,0.490432503,3.202568593,21.45482988,0.290491118,0.444302381
30,10,0.264937676,0.605606618,3.273788675,12.47053591,0.253918495,0.451085948
30,12,0.239244069,0.710278143,2.958552248,4.484955752,0.244096134,0.450530376
30,14,0.195335746,0.924277017,2.745475773,3.139519359,0.200626959,0.438957476
