,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,2.0,-4.0,858.6,195.2,0.13699999999999998,0.268,0.154,0.21899999999999997,31.095,15.145999999999999,0.021
1,2.0,-2.0,777.5,188.9,0.11800000000000001,0.264,0.126,0.18,28.58,19.296,0.019
2,2.0,0.0,750.1,187.5,0.129,0.195,-0.005,0.136,10.335,0.589,0.002
3,2.0,2.0,797.0,178.9,0.11900000000000001,0.252,-0.071,0.149,18.967,-6.662999999999999,-0.01
4,2.0,4.0,886.6,190.8,0.14400000000000002,0.278,-0.10800000000000001,0.19,30.898000000000003,-1.24,-0.019
5,2.0,6.0,937.8,204.1,0.193,0.259,-0.11599999999999999,0.268,36.578,5.9110000000000005,-0.011000000000000001
6,2.0,8.0,951.4,219.8,0.28600000000000003,0.265,-0.171,0.32,38.474000000000004,23.256,0.006
7,2.0,10.0,977.9,236.7,0.275,0.295,-0.314,0.284,42.556000000000004,22.351,0.015
8,2.0,12.0,916.2,187.0,0.17300000000000001,0.225,-0.318,0.24,32.819,29.656,0.026000000000000002
9,2.0,14.000000000000002,791.2,225.1,0.013000000000000001,0.13,-0.304,0.207,21.563000000000002,37.631,0.013999999999999999
10,2.0,16.0,300.3,1.9,0.18,0.102,-0.276,0.07,-0.049,-0.018000000000000002,-0.004
