,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,2.0,-4.0,898.5,255.0,0.14400000000000002,0.17600000000000002,0.113,0.184,25.529,16.015,0.009000000000000001
1,2.0,-2.0,763.8,224.0,0.087,0.187,0.032,0.138,29.453000000000003,2.019,0.006999999999999999
2,2.0,0.0,746.1,235.5,0.071,0.185,-0.03,0.138,28.299,-6.207000000000001,-0.005
3,2.0,2.0,802.5,253.8,0.109,0.20600000000000002,-0.078,0.162,28.85,-3.41,-0.006
4,2.0,4.0,921.8,233.0,0.14,0.20600000000000002,-0.18100000000000002,0.20199999999999999,20.268,-13.353,-0.013999999999999999
5,2.0,6.0,1017.8,218.1,0.124,0.272,-0.247,0.265,28.811999999999998,-6.527,-0.033
6,2.0,8.0,1000.9,277.1,0.149,0.285,-0.209,0.311,55.588,-27.388,-0.036000000000000004
7,2.0,10.0,934.8,268.7,0.18899999999999997,0.276,-0.198,0.295,48.395,-15.394,0.0
8,2.0,12.0,951.5,265.4,0.19399999999999998,0.27399999999999997,-0.266,0.252,42.783,8.738999999999999,0.024
9,2.0,14.000000000000002,866.8,277.9,0.115,0.203,-0.313,0.174,27.596999999999998,16.288,0.015
10,2.0,16.0,302.3,22.1,0.184,0.071,-0.262,0.08900000000000001,-0.018000000000000002,-0.332,-0.003
