,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,18.0,-4.0,926.2,300.5,1.578,0.875,-0.022000000000000002,0.449,189.785,-40.313,-0.102
1,18.0,-2.0,1089.3,260.4,1.858,0.935,-0.064,0.395,118.779,-23.279,-0.063
2,18.0,0.0,1165.7,230.0,2.022,0.905,-0.015,0.332,45.138000000000005,-4.579,0.013000000000000001
3,18.0,2.0,1123.2,264.4,1.929,1.016,-0.001,0.33799999999999997,118.398,18.407,0.08199999999999999
4,18.0,4.0,879.3,282.4,1.54,0.9359999999999999,-0.016,0.419,201.352,24.145,0.115
5,18.0,6.0,836.2,274.7,1.365,0.742,-0.043,0.46799999999999997,151.811,29.801,0.078
6,18.0,8.0,783.2,260.7,1.181,0.59,-0.081,0.45399999999999996,90.56700000000001,33.035,0.071
7,18.0,10.0,698.7,240.8,0.96,0.528,-0.079,0.45899999999999996,65.502,34.48,0.09300000000000001
8,18.0,12.0,608.5,227.0,0.715,0.47600000000000003,-0.08900000000000001,0.462,63.99100000000001,39.146,0.086
9,18.0,14.000000000000002,526.3,213.0,0.447,0.401,-0.11199999999999999,0.436,44.727,18.384,0.044000000000000004
10,18.0,16.0,439.1,167.7,0.22699999999999998,0.259,-0.145,0.353,17.654,-3.818,0.003
