,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,10.0,-4.0,1006.5,285.2,1.069,0.6920000000000001,0.133,0.239,126.295,-10.729000000000001,0.01
1,10.0,-2.0,1074.3,208.3,1.14,0.711,0.1,0.23199999999999998,67.615,-5.985,0.03
2,10.0,0.0,1057.7,171.4,1.2309999999999999,0.687,-0.016,0.223,45.265,-1.305,0.006999999999999999
3,10.0,2.0,1008.5,242.4,1.064,0.752,-0.12,0.20199999999999999,104.13,2.148,-0.02
4,10.0,4.0,947.6,300.6,1.045,0.7240000000000001,-0.15,0.228,160.408,5.7620000000000005,-0.005
5,10.0,6.0,890.7,310.0,1.014,0.675,-0.217,0.254,171.455,3.972,0.022000000000000002
6,10.0,8.0,880.6,314.1,0.9109999999999999,0.603,-0.203,0.312,145.56799999999998,20.730999999999998,0.07200000000000001
7,10.0,10.0,891.2,335.6,0.821,0.5479999999999999,-0.18,0.36,111.38,31.412,0.106
8,10.0,12.0,550.4,228.3,0.336,0.381,-0.18100000000000002,0.278,42.38399999999999,3.5780000000000003,0.043
9,10.0,14.000000000000002,331.7,55.3,0.095,0.165,-0.18600000000000003,0.207,3.053,-2.434,0.002
10,10.0,16.0,299.2,3.1,0.051,0.115,-0.168,0.15,-0.035,-0.174,-0.002
