,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,16.0,-4.0,938.4,288.2,1.472,0.8140000000000001,0.006999999999999999,0.28300000000000003,156.1,-27.392,-0.064
1,16.0,-2.0,1095.9,257.4,1.732,0.875,0.02,0.27,106.704,-20.63,-0.011000000000000001
2,16.0,0.0,1133.6,191.2,1.886,0.9590000000000001,-0.015,0.264,40.373000000000005,5.189,0.015
3,16.0,2.0,986.6,284.8,1.568,0.948,-0.05,0.264,163.143,17.584,0.019
4,16.0,4.0,850.4,296.5,1.401,0.851,-0.07200000000000001,0.28800000000000003,195.708,19.69,0.049
5,16.0,6.0,796.7,301.1,1.2830000000000001,0.777,-0.087,0.335,188.953,22.346,0.064
6,16.0,8.0,806.2,325.0,1.147,0.679,-0.078,0.413,170.042,45.95,0.129
7,16.0,10.0,759.1,316.9,0.912,0.585,-0.073,0.46,125.37100000000001,47.38,0.14300000000000002
8,16.0,12.0,575.8,248.9,0.521,0.426,-0.086,0.40399999999999997,65.812,25.986,0.073
9,16.0,14.000000000000002,440.8,192.9,0.248,0.272,-0.135,0.331,29.816,4.757,0.025
10,16.0,16.0,335.1,68.1,0.092,0.175,-0.153,0.22699999999999998,1.399,-4.525,0.0
