,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,4.0,-4.0,1207.0,276.1,0.547,0.324,0.20800000000000002,0.23399999999999999,34.586,4.351,0.044000000000000004
1,4.0,-2.0,1030.9,283.8,0.43200000000000005,0.298,0.115,0.19,38.194,11.26,0.026000000000000002
2,4.0,0.0,895.6,256.5,0.331,0.298,-0.05,0.142,41.008,4.563,0.002
3,4.0,2.0,1139.6,275.2,0.51,0.292,-0.195,0.188,29.486,-7.192,-0.018000000000000002
4,4.0,4.0,1265.5,290.6,0.49200000000000005,0.41,-0.239,0.255,60.023999999999994,-10.38,-0.059000000000000004
5,4.0,6.0,1025.0,289.5,0.342,0.445,-0.204,0.28800000000000003,94.212,-39.378,-0.063
6,4.0,8.0,1042.7,246.7,0.405,0.397,-0.245,0.287,64.808,-15.350999999999999,-0.009000000000000001
7,4.0,10.0,1031.9,308.2,0.46799999999999997,0.43200000000000005,-0.33299999999999996,0.247,97.885,18.942,0.039
8,4.0,12.0,903.5,348.9,0.382,0.397,-0.376,0.195,99.537,21.8,0.028999999999999998
9,4.0,14.000000000000002,549.6,300.9,0.18899999999999997,0.228,-0.321,0.151,42.518,0.662,0.009000000000000001
10,4.0,16.0,315.0,54.3,0.113,0.08900000000000001,-0.24600000000000002,0.122,-1.9040000000000001,-2.3409999999999997,-0.001
