,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,12.0,-4.0,1123.0,292.6,1.329,0.847,0.03,0.342,154.781,-12.262,-0.009000000000000001
1,12.0,-2.0,1269.3,228.8,1.597,0.795,0.017,0.29600000000000004,54.615,-8.857000000000001,0.028999999999999998
2,12.0,0.0,1156.9,268.2,1.546,0.7929999999999999,-0.031,0.259,69.749,4.414,0.02
3,12.0,2.0,1220.8,303.8,1.5230000000000001,0.9420000000000001,-0.051,0.292,159.886,11.886,0.011000000000000001
4,12.0,4.0,1062.6,336.2,1.217,0.904,-0.05,0.363,236.375,9.339,0.02
5,12.0,6.0,983.5,297.0,1.1059999999999999,0.7170000000000001,-0.087,0.433,160.618,25.095,0.061
6,12.0,8.0,972.4,326.3,1.0590000000000002,0.5920000000000001,-0.126,0.478,135.924,60.644,0.1
7,12.0,10.0,910.7,349.9,0.9540000000000001,0.537,-0.136,0.462,123.65700000000001,61.528999999999996,0.111
8,12.0,12.0,820.5,346.2,0.677,0.461,-0.126,0.45299999999999996,90.318,55.141000000000005,0.102
9,12.0,14.000000000000002,635.2,302.1,0.33399999999999996,0.322,-0.15,0.40700000000000003,44.00899999999999,17.852999999999998,0.042
10,12.0,16.0,423.7,224.8,0.11900000000000001,0.201,-0.188,0.282,15.577,-1.669,0.006
