,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,12.0,-4.0,962.4,275.4,1.204,0.742,0.081,0.25,136.75,-16.383,-0.018000000000000002
1,12.0,-2.0,1099.6,225.9,1.391,0.772,0.064,0.242,76.16199999999999,-12.458,0.013000000000000001
2,12.0,0.0,1093.5,173.2,1.4869999999999999,0.787,-0.02,0.24,38.896,2.387,0.013000000000000001
3,12.0,2.0,993.6,257.4,1.2570000000000001,0.847,-0.10099999999999999,0.21600000000000003,132.259,4.386,-0.012
4,12.0,4.0,891.7,291.8,1.1840000000000002,0.774,-0.13,0.23199999999999998,174.213,4.912,0.011000000000000001
5,12.0,6.0,852.5,303.5,1.129,0.71,-0.158,0.281,177.144,11.757,0.048
6,12.0,8.0,855.5,320.6,0.992,0.639,-0.146,0.348,156.502,31.795,0.096
7,12.0,10.0,834.1,323.1,0.831,0.5579999999999999,-0.131,0.40700000000000003,110.52,36.089,0.11599999999999999
8,12.0,12.0,551.7,240.1,0.389,0.361,-0.152,0.33299999999999996,42.762,13.739,0.048
9,12.0,14.000000000000002,359.3,97.1,0.138,0.182,-0.179,0.24600000000000002,7.585,-3.905,0.005
10,12.0,16.0,304.6,14.1,0.055999999999999994,0.129,-0.165,0.174,-0.21,-0.867,-0.002
