,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,12.0,-4.0,975.0,361.3,1.2329999999999999,0.8440000000000001,0.149,0.23600000000000002,243.829,-16.276,-0.013999999999999999
1,12.0,-2.0,1054.4,303.9,1.306,0.914,0.126,0.217,184.699,-12.868,-0.003
2,12.0,0.0,1168.4,240.7,1.531,0.758,0.051,0.217,36.821,-0.985,-0.001
3,12.0,2.0,1084.0,271.2,1.381,0.884,-0.10099999999999999,0.21,149.224,1.588,-0.006
4,12.0,4.0,1009.4,349.8,1.298,0.853,-0.136,0.245,229.59,9.109,0.011000000000000001
5,12.0,6.0,909.8,348.4,1.17,0.7759999999999999,-0.162,0.27899999999999997,223.30900000000003,12.706,0.036000000000000004
6,12.0,8.0,902.2,361.3,1.048,0.664,-0.142,0.36700000000000005,181.81099999999998,31.654,0.09300000000000001
7,12.0,10.0,828.3,372.0,0.7759999999999999,0.552,-0.121,0.401,146.072,46.096000000000004,0.085
8,12.0,12.0,641.8,337.2,0.42,0.423,-0.14,0.37,97.259,32.769,0.073
9,12.0,14.000000000000002,421.6,195.0,0.183,0.243,-0.171,0.275,26.445,-0.5529999999999999,0.017
10,12.0,16.0,317.9,54.1,0.073,0.14,-0.171,0.191,2.023,-3.2030000000000003,-0.005
