,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,18.0,-4.0,915.0,360.2,1.6119999999999999,0.995,0.068,0.319,295.805,-28.831999999999997,-0.078
1,18.0,-2.0,1040.3,327.7,1.774,1.078,0.065,0.28600000000000003,248.68400000000003,-17.863,-0.055999999999999994
2,18.0,0.0,1205.0,231.9,2.101,1.046,0.052000000000000005,0.264,49.053000000000004,-1.709,-0.006999999999999999
3,18.0,2.0,1162.0,276.0,1.939,0.955,-0.021,0.315,127.39299999999999,16.361,0.07
4,18.0,4.0,921.0,350.1,1.62,0.9440000000000001,-0.042,0.33399999999999996,264.198,28.735,0.09300000000000001
5,18.0,6.0,825.6,343.6,1.411,0.852,-0.055999999999999994,0.369,232.805,34.485,0.09699999999999999
6,18.0,8.0,749.3,307.5,1.131,0.675,-0.067,0.401,146.468,37.488,0.08800000000000001
7,18.0,10.0,697.9,319.4,0.86,0.575,-0.067,0.436,129.868,49.515,0.09300000000000001
8,18.0,12.0,619.2,314.1,0.5489999999999999,0.483,-0.08199999999999999,0.413,102.89399999999999,35.501999999999995,0.08
9,18.0,14.000000000000002,480.7,234.7,0.354,0.386,-0.115,0.35600000000000004,68.288,15.208,0.048
10,18.0,16.0,389.9,185.7,0.184,0.29100000000000004,-0.142,0.303,38.938,6.5329999999999995,0.021
