,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,18.0,-4.0,1059.2,317.5,1.656,0.922,-0.042,0.435,189.15599999999998,-44.15,-0.09699999999999999
1,18.0,-2.0,1218.1,262.7,2.013,1.054,-0.07,0.384,109.29700000000001,-21.186,-0.027000000000000003
2,18.0,0.0,1238.2,273.8,2.074,1.089,-0.062,0.335,106.931,6.394,0.039
3,18.0,2.0,1122.5,324.4,1.857,1.0959999999999999,0.003,0.376,225.97400000000002,23.965,0.091
4,18.0,4.0,945.1,339.1,1.534,1.002,0.01,0.442,257.812,37.606,0.11800000000000001
5,18.0,6.0,942.0,309.1,1.432,0.794,-0.031,0.511,174.84400000000002,54.633,0.113
6,18.0,8.0,922.6,319.9,1.258,0.6509999999999999,-0.048,0.496,124.67200000000001,55.221000000000004,0.091
7,18.0,10.0,813.4,294.0,1.08,0.55,-0.059000000000000004,0.495,77.13600000000001,52.574,0.086
8,18.0,12.0,716.7,276.9,0.8170000000000001,0.46799999999999997,-0.055999999999999994,0.461,63.248999999999995,44.94,0.075
9,18.0,14.000000000000002,615.0,242.9,0.512,0.34700000000000003,-0.10400000000000001,0.435,40.994,13.319,0.031
10,18.0,16.0,473.0,206.4,0.214,0.265,-0.147,0.36700000000000005,15.713,-4.428999999999999,0.011000000000000001
