,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,30.0,-4.0,832.4,265.4,1.9869999999999999,0.9129999999999999,-0.052000000000000005,0.535,155.877,-46.748999999999995,-0.11699999999999999
1,30.0,-2.0,963.8,256.2,2.269,1.001,-0.06,0.491,155.536,-26.936,-0.085
2,30.0,0.0,1012.5,265.3,2.405,1.067,-0.038,0.445,175.53,-1.493,-0.003
3,30.0,2.0,918.3,268.5,2.207,1.0759999999999998,0.008,0.435,185.495,15.315,0.102
4,30.0,4.0,771.4,242.0,1.945,0.948,0.025,0.46799999999999997,160.043,34.02,0.14
5,30.0,6.0,703.7,242.8,1.694,0.805,-0.006999999999999999,0.5,131.05200000000002,33.521,0.132
6,30.0,8.0,636.2,217.8,1.3980000000000001,0.639,-0.02,0.496,84.773,32.156,0.086
7,30.0,10.0,539.4,191.9,1.063,0.5660000000000001,-0.045,0.451,57.181000000000004,24.377,0.045
8,30.0,12.0,509.0,164.5,0.861,0.511,-0.054000000000000006,0.435,44.463,19.364,0.044000000000000004
9,30.0,14.000000000000002,467.6,150.5,0.633,0.45899999999999996,-0.065,0.414,36.376999999999995,12.829,0.04
10,30.0,16.0,400.8,116.4,0.382,0.366,-0.1,0.35700000000000004,25.828000000000003,6.502999999999999,0.01
