,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,30.0,-4.0,917.5,294.2,2.088,0.986,-0.07400000000000001,0.541,179.237,-49.396,-0.124
1,30.0,-2.0,1012.7,291.5,2.366,1.17,-0.07200000000000001,0.523,218.377,-31.894000000000002,-0.08199999999999999
2,30.0,0.0,1019.0,301.0,2.366,1.212,-0.037000000000000005,0.449,234.313,8.235,0.027000000000000003
3,30.0,2.0,943.7,292.4,2.2319999999999998,1.073,0.006,0.48,211.88,34.665,0.13
4,30.0,4.0,845.7,299.2,2.016,0.9990000000000001,0.004,0.512,216.993,39.914,0.113
5,30.0,6.0,789.8,308.3,1.709,0.898,-0.001,0.512,186.247,49.402,0.121
6,30.0,8.0,709.7,281.9,1.466,0.769,-0.027000000000000003,0.496,141.924,47.042,0.098
7,30.0,10.0,643.1,265.7,1.22,0.654,-0.046,0.47700000000000004,92.208,39.302,0.077
8,30.0,12.0,571.6,235.6,0.9670000000000001,0.5720000000000001,-0.046,0.45,68.797,32.588,0.068
9,30.0,14.000000000000002,512.2,181.8,0.6920000000000001,0.524,-0.075,0.425,62.428000000000004,16.755,0.063
10,30.0,16.0,444.0,132.4,0.397,0.365,-0.095,0.385,27.324,0.021,0.02
