,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,6.0,-4.0,1038.2,318.9,0.603,0.604,0.267,0.21899999999999997,131.04399999999998,2.135,0.054000000000000006
1,6.0,-2.0,1031.8,272.4,0.5710000000000001,0.5770000000000001,0.203,0.187,98.391,9.091000000000001,0.044000000000000004
2,6.0,0.0,1013.9,241.9,0.6709999999999999,0.436,0.055999999999999994,0.17300000000000001,51.316,0.611,-0.006
3,6.0,2.0,1043.9,239.8,0.645,0.519,-0.141,0.19,68.887,-7.8229999999999995,-0.033
4,6.0,4.0,1118.0,316.5,0.6659999999999999,0.56,-0.24100000000000002,0.223,112.18,-5.043,-0.046
5,6.0,6.0,1089.1,352.8,0.6809999999999999,0.551,-0.35100000000000003,0.218,149.874,-16.230999999999998,-0.039
6,6.0,8.0,1098.4,367.3,0.759,0.49,-0.368,0.23600000000000002,142.055,6.057,0.009000000000000001
7,6.0,10.0,929.3,351.1,0.575,0.473,-0.321,0.24,125.667,13.152999999999999,0.039
8,6.0,12.0,705.4,356.9,0.345,0.375,-0.248,0.253,84.68299999999999,16.014,0.046
9,6.0,14.000000000000002,357.5,119.5,0.071,0.14800000000000002,-0.21899999999999997,0.183,2.625,-3.092,0.001
10,6.0,16.0,298.7,3.1,0.055,0.095,-0.185,0.11699999999999999,-0.052000000000000005,-0.035,-0.004
