,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,10.0,-4.0,1023.4,282.4,1.094,0.774,0.075,0.287,161.183,3.6430000000000002,0.011000000000000001
1,10.0,-2.0,1161.6,215.9,1.2930000000000001,0.667,0.019,0.265,31.066999999999997,-2.804,0.038
2,10.0,0.0,1048.1,230.0,1.2830000000000001,0.555,-0.044000000000000004,0.23600000000000002,37.049,-8.456,0.009000000000000001
3,10.0,2.0,1210.9,213.5,1.33,0.703,-0.09699999999999999,0.249,48.387,2.7539999999999996,-0.015
4,10.0,4.0,1022.3,303.9,1.089,0.805,-0.128,0.271,189.144,-8.057,-0.01
5,10.0,6.0,897.3,272.7,0.917,0.667,-0.154,0.359,139.63299999999998,-4.15,0.016
6,10.0,8.0,917.8,260.8,0.932,0.535,-0.18600000000000003,0.40299999999999997,89.934,30.248,0.07200000000000001
7,10.0,10.0,876.1,309.1,0.8,0.5429999999999999,-0.177,0.406,99.90299999999999,47.91,0.122
8,10.0,12.0,678.0,297.6,0.509,0.441,-0.183,0.37200000000000005,85.631,36.972,0.078
9,10.0,14.000000000000002,507.8,233.9,0.22699999999999998,0.252,-0.203,0.294,21.665,-4.876,0.015
10,10.0,16.0,346.1,112.5,0.09,0.153,-0.195,0.193,6.726,-4.04,-0.002
