,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,20.0,-4.0,890.8,351.3,1.6840000000000002,1.028,0.040999999999999995,0.33299999999999996,292.308,-36.689,-0.10099999999999999
1,20.0,-2.0,1034.5,331.5,1.9040000000000001,1.111,0.049,0.321,252.6,-23.875,-0.075
2,20.0,0.0,1232.1,236.6,2.272,1.089,0.042,0.303,56.565,-3.69,-0.019
3,20.0,2.0,1157.0,293.0,2.066,0.975,-0.005,0.326,144.97,22.461,0.092
4,20.0,4.0,898.6,349.4,1.704,0.9740000000000001,-0.024,0.35200000000000004,272.75,34.150999999999996,0.11699999999999999
5,20.0,6.0,815.4,340.6,1.501,0.851,-0.043,0.397,233.46400000000003,40.029,0.11900000000000001
6,20.0,8.0,738.4,316.2,1.196,0.687,-0.049,0.423,153.37,45.268,0.091
7,20.0,10.0,674.7,309.8,0.888,0.5710000000000001,-0.06,0.42700000000000005,119.17299999999999,41.431999999999995,0.075
8,20.0,12.0,606.1,301.2,0.569,0.502,-0.073,0.431,95.807,33.917,0.076
9,20.0,14.000000000000002,485.0,228.3,0.4,0.40700000000000003,-0.10099999999999999,0.381,68.093,14.48,0.053
10,20.0,16.0,391.4,170.7,0.21600000000000003,0.313,-0.136,0.322,38.46,5.172000000000001,0.017
