,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,10.0,-4.0,1170.3,277.7,1.193,0.7809999999999999,0.064,0.31,126.639,-1.147,0.023
1,10.0,-2.0,1247.5,219.3,1.3780000000000001,0.6890000000000001,0.039,0.255,50.655,-5.209,0.037000000000000005
2,10.0,0.0,1127.9,276.4,1.3159999999999998,0.6609999999999999,-0.022000000000000002,0.25,58.556000000000004,11.942,0.021
3,10.0,2.0,1258.6,261.8,1.349,0.8079999999999999,-0.073,0.278,100.712,5.9110000000000005,-0.013000000000000001
4,10.0,4.0,1076.6,323.3,1.0270000000000001,0.843,-0.085,0.324,209.088,-0.821,-0.017
5,10.0,6.0,1005.7,298.5,0.9640000000000001,0.691,-0.11800000000000001,0.397,160.67600000000002,10.757,0.043
6,10.0,8.0,988.9,310.3,0.945,0.5589999999999999,-0.17300000000000001,0.434,123.97399999999999,44.453,0.08800000000000001
7,10.0,10.0,936.2,364.4,0.887,0.5589999999999999,-0.172,0.43799999999999994,147.72,68.72800000000001,0.12300000000000001
8,10.0,12.0,838.6,359.7,0.616,0.474,-0.18100000000000002,0.42100000000000004,93.07600000000001,44.181999999999995,0.1
9,10.0,14.000000000000002,647.4,310.5,0.27399999999999997,0.281,-0.188,0.353,32.13,3.175,0.031
10,10.0,16.0,356.8,168.3,0.086,0.166,-0.203,0.225,9.669,0.32799999999999996,0.002
