,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,20.0,-4.0,918.7,309.5,1.676,0.868,-0.018000000000000002,0.33299999999999996,178.41299999999998,-35.555,-0.092
1,20.0,-2.0,1079.4,288.7,1.9569999999999999,0.9520000000000001,-0.011000000000000001,0.304,136.833,-25.558000000000003,-0.047
2,20.0,0.0,1157.1,213.9,2.194,1.082,-0.012,0.297,51.118,2.426,0.028999999999999998
3,20.0,2.0,975.9,311.2,1.8219999999999998,0.995,-0.023,0.319,185.088,37.73,0.07200000000000001
4,20.0,4.0,851.9,325.0,1.6030000000000002,0.88,-0.032,0.361,214.82299999999998,35.393,0.073
5,20.0,6.0,770.3,310.6,1.431,0.809,-0.045,0.384,197.541,34.510999999999996,0.091
6,20.0,8.0,744.0,309.0,1.21,0.6659999999999999,-0.032,0.455,143.466,47.556000000000004,0.102
7,20.0,10.0,714.3,314.9,1.0170000000000001,0.635,-0.033,0.493,142.211,57.645,0.152
8,20.0,12.0,620.7,271.9,0.6759999999999999,0.496,-0.063,0.461,82.509,27.484,0.10800000000000001
9,20.0,14.000000000000002,504.5,213.5,0.402,0.374,-0.121,0.382,49.208,-2.41,0.046
10,20.0,16.0,364.5,104.5,0.174,0.24600000000000002,-0.136,0.304,10.725,-0.223,0.015
