,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,30.0,-4.0,798.1,288.3,1.985,0.9620000000000001,0.004,0.455,197.734,-45.175,-0.166
1,30.0,-2.0,961.1,281.4,2.3209999999999997,1.046,0.023,0.415,173.045,-28.386999999999997,-0.136
2,30.0,0.0,1097.2,245.9,2.612,1.196,0.02,0.396,154.847,2.36,0.024
3,30.0,2.0,903.2,316.0,2.25,1.101,0.021,0.42100000000000004,232.43099999999998,50.98,0.14400000000000002
4,30.0,4.0,781.9,322.5,1.909,0.9159999999999999,0.013000000000000001,0.452,202.94,61.917,0.156
5,30.0,6.0,705.1,302.1,1.692,0.802,-0.021,0.469,169.92700000000002,59.211000000000006,0.127
6,30.0,8.0,642.8,281.3,1.365,0.741,-0.054000000000000006,0.47700000000000004,142.993,55.515,0.106
7,30.0,10.0,617.6,269.4,1.103,0.639,-0.044000000000000004,0.469,108.083,46.297,0.069
8,30.0,12.0,599.6,270.1,0.8640000000000001,0.5870000000000001,-0.04,0.48700000000000004,106.072,39.361999999999995,0.096
9,30.0,14.000000000000002,558.6,253.0,0.6859999999999999,0.545,-0.054000000000000006,0.473,92.85,23.02,0.085
10,30.0,16.0,508.5,244.3,0.45399999999999996,0.41700000000000004,-0.066,0.44299999999999995,63.036,9.95,0.046
