,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,30.0,-4.0,810.2,319.2,1.9580000000000002,1.052,-0.006999999999999999,0.455,252.437,-56.026,-0.174
1,30.0,-2.0,982.4,330.3,2.35,1.162,-0.016,0.447,270.21299999999997,-50.923,-0.16899999999999998
2,30.0,0.0,1223.1,291.1,2.824,1.297,0.013000000000000001,0.444,222.40200000000002,-3.242,-0.01
3,30.0,2.0,1031.6,358.0,2.373,1.186,0.023,0.42700000000000005,289.75,41.434,0.145
4,30.0,4.0,834.0,327.2,2.044,1.03,0.012,0.449,253.858,55.98,0.177
5,30.0,6.0,743.1,334.5,1.771,0.971,-0.001,0.473,239.695,63.088,0.196
6,30.0,8.0,693.0,320.3,1.4509999999999998,0.7659999999999999,-0.03,0.45,147.293,48.258,0.125
7,30.0,10.0,623.4,281.0,1.1079999999999999,0.6459999999999999,-0.022000000000000002,0.455,118.92299999999999,56.106,0.115
8,30.0,12.0,575.6,280.5,0.745,0.54,-0.062,0.452,94.027,45.989,0.065
9,30.0,14.000000000000002,512.7,242.8,0.551,0.48200000000000004,-0.081,0.405,69.835,33.242,0.039
10,30.0,16.0,443.5,214.8,0.326,0.376,-0.091,0.374,59.288999999999994,19.816,0.027000000000000003
