r(cm),qin_mean(kW/m^2)
-20.0,nan
-19.96,nan
-19.92,nan
-19.88,nan
-19.84,nan
-19.8,nan
-19.76,nan
-19.72,nan
-19.68,nan
-19.64,nan
-19.6,nan
-19.56,nan
-19.52,nan
-19.48,nan
-19.44,nan
-19.4,nan
-19.36,nan
-19.32,nan
-19.28,nan
-19.24,nan
-19.2,nan
-19.16,nan
-19.12,nan
-19.08,nan
-19.04,nan
-19.0,nan
-18.96,nan
-18.92,nan
-18.88,nan
-18.84,nan
-18.8,nan
-18.76,nan
-18.72,nan
-18.68,nan
-18.64,nan
-18.6,nan
-18.56,nan
-18.52,nan
-18.48,nan
-18.44,nan
-18.4,nan
-18.36,nan
-18.32,nan
-18.28,nan
-18.24,nan
-18.2,nan
-18.16,nan
-18.12,nan
-18.08,nan
-18.04,nan
-18.0,nan
-17.96,nan
-17.92,nan
-17.88,nan
-17.84,nan
-17.8,nan
-17.76,nan
-17.72,nan
-17.68,nan
-17.64,nan
-17.6,nan
-17.56,nan
-17.52,nan
-17.48,nan
-17.44,nan
-17.4,nan
-17.36,nan
-17.32,nan
-17.28,nan
-17.24,nan
-17.2,nan
-17.16,nan
-17.12,nan
-17.08,nan
-17.04,nan
-17.0,nan
-16.96,nan
-16.92,nan
-16.88,nan
-16.84,nan
-16.8,nan
-16.76,nan
-16.72,nan
-16.68,nan
-16.64,nan
-16.6,nan
-16.56,nan
-16.52,nan
-16.48,nan
-16.44,nan
-16.4,nan
-16.36,nan
-16.32,nan
-16.28,nan
-16.24,nan
-16.2,nan
-16.16,nan
-16.12,nan
-16.08,nan
-16.04,nan
-16.0,nan
-15.96,nan
-15.92,nan
-15.88,nan
-15.84,nan
-15.8,nan
-15.76,nan
-15.72,nan
-15.68,nan
-15.64,nan
-15.6,nan
-15.56,nan
-15.52,nan
-15.48,nan
-15.44,nan
-15.4,nan
-15.36,nan
-15.32,nan
-15.28,nan
-15.24,12.906
-15.2,12.909
-15.16,12.912
-15.12,12.915
-15.08,12.917
-15.04,12.92
-15.0,12.923
-14.96,12.926
-14.92,12.929
-14.88,12.931
-14.84,12.934
-14.8,12.937
-14.76,12.94
-14.72,12.943
-14.68,12.945
-14.64,12.948
-14.6,12.951
-14.56,12.953
-14.52,12.942
-14.48,12.932
-14.44,12.921
-14.4,12.911
-14.36,12.901
-14.32,12.89
-14.28,12.88
-14.24,12.87
-14.2,12.859
-14.16,12.849
-14.12,12.838
-14.08,12.828
-14.04,12.818
-14.0,12.807
-13.96,12.797
-13.92,12.787
