r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 1.0,     0.14,    20.95,    21.09
 2.0,     0.13,    21.00,    21.13
 3.0,     0.12,    21.09,    21.21
 4.0,     0.12,    21.23,    21.34
 5.0,     0.11,    21.39,    21.50
 6.0,     0.10,    21.60,    21.70
 7.0,     0.08,    21.87,    21.95
 8.0,     0.07,    22.18,    22.26
 9.0,     0.07,    22.50,    22.57
10.0,     0.07,    22.91,    22.98
11.0,     0.07,    23.32,    23.39
12.0,     0.07,    23.80,    23.88
13.0,     0.08,    24.31,    24.39
14.0,     0.08,    24.74,    24.82
15.0,     0.09,    25.30,    25.39
16.0,     0.10,    25.77,    25.87
17.0,     0.12,    26.32,    26.43
18.0,     0.14,    26.79,    26.93
19.0,     0.17,    27.19,    27.36
20.0,     0.21,    27.72,    27.94
21.0,     0.26,    27.99,    28.25
22.0,     0.32,    28.45,    28.77
23.0,     0.39,    28.68,    29.07
24.0,     0.48,    28.91,    29.39
25.0,     0.61,    29.13,    29.75
26.0,     0.77,    29.33,    30.10
27.0,     0.94,    29.44,    30.38
28.0,     1.10,    29.39,    30.50
29.0,     1.29,    29.49,    30.78
30.0,     1.43,    29.32,    30.76
31.0,     1.57,    29.21,    30.78
32.0,     1.67,    28.94,    30.61
33.0,     1.78,    28.65,    30.43
34.0,     1.85,    28.32,    30.17
35.0,     1.95,    27.90,    29.86
36.0,     2.03,    27.46,    29.49
37.0,     2.13,    26.94,    29.06
38.0,     2.22,    26.35,    28.57
39.0,     2.33,    25.73,    28.06
40.0,     2.43,    25.03,    27.46
41.0,     2.55,    24.28,    26.83
42.0,     2.67,    23.43,    26.10
43.0,     2.80,    22.51,    25.32
44.0,     2.92,    21.55,    24.48
45.0,     3.06,    20.49,    23.56
46.0,     3.20,    19.32,    22.51
47.0,     3.31,    17.95,    21.26
48.0,     3.41,    16.38,    19.79
49.0,     3.48,    14.33,    17.81
50.0,     3.39,    15.00,    18.39
51.0,     0.00,     3.43,     3.43
52.0,     0.00,     4.41,     4.41
53.0,     0.00,     4.81,     4.81
54.0,     0.00,     4.67,     4.67
55.0,     0.00,     4.52,     4.52
56.0,     0.00,     4.29,     4.29
57.0,     0.00,     4.13,     4.13
58.0,     0.00,     3.86,     3.86
59.0,     0.00,     3.55,     3.55
60.0,     0.00,     3.43,     3.43
62.0,     0.00,     3.25,     3.25
63.0,     0.00,     3.15,     3.15
64.0,     0.00,     3.04,     3.04
65.0,     0.00,     2.86,     2.86
66.0,     0.00,     2.85,     2.85
67.0,     0.00,     2.71,     2.71
68.0,     0.00,     2.56,     2.56
69.0,     0.00,     2.48,     2.48
70.0,     0.00,     2.54,     2.54
71.0,     0.00,     2.38,     2.38
72.0,     0.00,     2.27,     2.27
73.0,     0.00,     2.19,     2.19
74.0,     0.00,     2.17,     2.17
75.0,     0.00,     2.12,     2.12
76.0,     0.00,     1.99,     1.99
77.0,     0.00,     1.92,     1.92
78.0,     0.00,     1.92,     1.92
79.0,     0.00,     1.88,     1.88
80.0,     0.00,     1.77,     1.77
81.0,     0.00,     1.72,     1.72
82.0,     0.00,     1.70,     1.70
83.0,     0.00,     1.66,     1.66
84.0,     0.00,     1.60,     1.60
85.0,     0.00,     1.52,     1.52
86.0,     0.00,     1.54,     1.54
87.0,     0.00,     1.48,     1.48
88.0,     0.00,     1.41,     1.41
89.0,     0.00,     1.38,     1.38
90.0,     0.00,     1.39,     1.39
91.0,     0.00,     1.33,     1.33
92.0,     0.00,     1.27,     1.27
93.0,     0.00,     1.24,     1.24
94.0,     0.00,     1.23,     1.23
95.0,     0.00,     1.22,     1.22
96.0,     0.00,     1.15,     1.15
97.0,     0.00,     1.12,     1.12
98.0,     0.00,     1.12,     1.12
99.0,     0.00,     1.08,     1.08
100.0,     0.00,     1.05,     1.05
101.0,     0.00,     1.01,     1.01
102.0,     0.00,     1.02,     1.02
103.0,     0.00,     0.98,     0.98
104.0,     0.00,     0.97,     0.97
105.0,     0.00,     0.92,     0.92
106.0,     0.00,     0.94,     0.94
107.0,     0.00,     0.91,     0.91
108.0,     0.00,     0.87,     0.87
109.0,     0.00,     0.85,     0.85
