,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
0,-16.0,342.61,106.2073,0.1116,0.0991,0.312,0.2954,-3.5986,0.0048
1,-15.97,348.42,114.9522,0.1135,0.099,0.312,0.2884,-3.9793,0.0046
2,-15.94,354.23,123.0772,0.1153,0.099,0.312,0.2815,-4.2826,0.0045
3,-15.9,360.05,130.6981,0.1171,0.0989,0.312,0.2745,-4.5077,0.0043
4,-15.87,365.86,137.8985,0.1189,0.0988,0.3119,0.2675,-4.6455,0.0041
5,-15.84,371.67,144.7411,0.1206,0.0987,0.3119,0.2606,-4.7051,0.0039
6,-15.81,377.48,151.2746,0.1223,0.0987,0.3119,0.2536,-4.6847,0.0037
7,-15.78,383.29,157.5373,0.124,0.0986,0.3118,0.2466,-4.5796,0.0035
8,-15.74,389.1,163.5604,0.1257,0.0985,0.3118,0.2397,-4.3975,0.0034
9,-15.71,394.91,169.3694,0.1274,0.0985,0.3118,0.2327,-4.1345,0.0032
10,-15.68,400.72,174.9857,0.129,0.0984,0.3118,0.2258,-3.7865,0.003
11,-15.65,406.53,180.4273,0.1306,0.0983,0.3117,0.2188,-3.3607,0.0028
12,-15.62,412.34,185.7095,0.1322,0.0983,0.3117,0.2118,-2.855,0.0026
13,-15.58,418.15,190.8455,0.1338,0.0982,0.3117,0.2049,-2.2642,0.0024
14,-15.55,423.96,195.8469,0.1353,0.0981,0.3116,0.1979,-1.5967,0.0023
15,-15.52,435.57,208.012,0.1365,0.101,0.3106,0.1946,-1.9982,0.0017
16,-15.49,447.57,219.9591,0.1377,0.104,0.3095,0.1915,-2.4051,0.0012
17,-15.46,459.57,231.2899,0.1388,0.1069,0.3084,0.1884,-2.7394,0.0007
18,-15.42,471.56,242.0888,0.1399,0.1097,0.3073,0.1854,-2.9934,0.0001
19,-15.39,483.56,252.4282,0.1411,0.1125,0.3062,0.1823,-3.1802,-0.0004
20,-15.36,495.55,262.3585,0.1422,0.1152,0.3051,0.1792,-3.2915,-0.001
21,-15.33,507.55,271.9283,0.1433,0.1178,0.304,0.1761,-3.3259,-0.0015
